,screenname,username,datetime,url,tweetText,source_domain,source_title,source_snippet,replies_count,retweets_count,likes_count,views_count,reply_to
0,OposisiCerdas.com,@OposisiCerdas,2023-05-29 18:24:01+00:00,https://twitter.com/OposisiCerdas/status/1663249854536220672,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,oposisicerdas.com,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,"Mahkamah Konstitusi (MK) dianggap berada di bawah kendali kekuatan yang menghendaki pemilu ditunda, jika memutuskan Pileg dengan sistem prop...",1,7,16,436,
1,luthfiyyah,@luthfiyyah_a,2023-05-29 16:31:00+00:00,https://twitter.com/luthfiyyah_a/status/1663221414047129600,"mau fafifu wasweswos dulu
[Abis ngeliat komen di postingan pemilu its yg penundaan pemilu]

hmm, apa iya ga sampai pemilu ga sampai threshold gara2 ketidaksanggupan calon?",,,,,1,,229,
2,GELORA NEWS,@geloraco,2023-05-29 15:51:48+00:00,https://twitter.com/geloraco/status/1663211547852947458,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,gelora.co,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,,4,6,23,864,
3,Jaya Sakti,@Nissakti,2023-05-29 13:42:55+00:00,https://twitter.com/Nissakti/status/1663179114688417793,"Bocor nih Bocor 

Pemilu Sistem Proporsional Tertutup & Penundaan Pilpres",,,,1,2,1,90,@republikaonline
4,Tek Wan Mahalini,@AnsoriA20877190,2023-05-29 12:44:48+00:00,https://twitter.com/AnsoriA20877190/status/1663164488064049154,"Rakyat bergerak memang itu yang diinginkan.
Supaya chaos, akhirnya pemilu ditunda.
Aparat represif pastinya
(Obroralan para ojol di warung kopi mba Giyem)",,,,1,1,3,142,@IMCMushroom
5,Nisma Malik Mokhtar,@nisma_mokhtar,2023-05-29 12:28:02+00:00,https://twitter.com/nisma_mokhtar/status/1663160265670815744,Yg diperlukan itu penjelasan ttg pengaruh apapun keputusan MK terhdp tahapan pelaksanaan pemilu. Krn yg dicurigai masyarakat kan adanya upaya penundaan pemilu lewat keputusan MK kelak.,,,,1,,1,6,@kandargalang
6,AcoyBK,@AcoyBk,2023-05-29 10:35:39+00:00,https://twitter.com/AcoyBk/status/1663131986335236096,"MK putuskan Pemilu kembali ke sistem proposal tertutup,  ujung""nya Pemilu ditunda & kepala daerah dipilih lewat keterwakilan

Presiden (kaka ipar)
MK (adik ipar)
KPU (ketua otak selangkangangan)
Menkopolhukam
Mendagri
Kapolri
Panglima

PDI-P Megawati
PBB - Yusril

Tanggung Jawab!",,,,1,,,93,
7,Godam,@Godam062,2023-05-29 10:33:25+00:00,https://twitter.com/Godam062/status/1663131424931852288,"Wah, kalau semua partai terlibat apa semuanya digrounded dan kena pinalti 1 periode atau malah dibubarkan dan PT jadi 0% atau pemilu ditunda 3-4 tahun ?",,,,1,,1,71,@_palungmariana
8,Historia.ID,@historia_id,2023-05-29 10:05:34+00:00,https://twitter.com/historia_id/status/1663124415759122432,"Setelah Pemilu pertama, Pemilu berikutnya ditunda-tunda. Alasannya keamanan, sengketa Irian Barat, dan takut PKI menang. Pemilu baru kembali diselenggarakan pada masa Orde Baru.",premium.historia.id,Motif di Balik Penundaan Pemilu,"Setelah Pemilu pertama, Pemilu berikutnya ditunda-tunda. Alasannya keamanan, sengketa Irian Barat, dan takut PKI menang. Pemilu baru kembali diselenggarakan pada masa Orde Baru.",1,11,33,"4,565",
9,Edi Keceput 2,@EdiKeceput2,2023-05-29 05:39:25+00:00,https://twitter.com/EdiKeceput2/status/1663057435534434304,"Jaile  lupa die, kemarin ada 'drama' yg diawali dg ""BIG DUSTA"", kemudian wacana penundaan pemilu, perpanjangan masa jabatan Presiden, Presiden 3 periode sampai gak malu3 ada wacana Presiden 2X bisa nyalon wapres.
Sampai sibuk ngumpulin kades, relawan, lupa ngurusin rakyat.",,,,1,,1,45,@SlametR06751672
10,Beritabaru.co,@Beritabaruco,2023-05-29 05:13:33+00:00,https://twitter.com/Beritabaruco/status/1663050927941783552,KY Akan Periksa Hakim PN Jakpus Terkait Putusan Penundaan Tahapan Pemilu 2024 #Hakim #MK #PenundaanPemilu #PNJakartaPusat  http://dlvr.it/SpnZdq,,,,1,,,17,
11,FARIZ BASTIAN ARDHANI,@ArdhaniFariz,2023-05-29 04:37:00+00:00,https://twitter.com/ArdhaniFariz/status/1663041726423134209,"Benar2 LUCU & KOPLAK
Sygku @ch_chotimah2
MK Mainnya Putuskan aja sperti RAJA
MK Putuskan Masa jabatan KPK
diperpanjang menjadi 5 th
Yg Lebih BRUNTAL lagi MK Bakal
Putuskan Sistem PEMILU menjadi
Proporsional TERTUTUP
Klo ini BENAR sangat BERBAHAYA
Ujung2 nya PEMILU DITUNDA sygku",,,,1,2,5,112,
12,BeritaSatu,@Beritasatu,2023-05-29 03:45:37+00:00,https://twitter.com/Beritasatu/status/1663028797799800835,"Putuskan Pemilu Ditunda, Ketua PN Jakpus dan Majelis Hakim Perkara Prima Dipanggil KY",beritasatu.com,"Putuskan Pemilu Ditunda, Ketua PN Jakpus dan Majelis Hakim Perkara Prima Dipanggil KY",KY memanggil Ketua PN Jakpus Liliek Prisbawono Adi dan majelis hakim yang menangani perkara gugatan perdata yang diajukan Partai Prima.,1,,1,621,
13,AcoyBK,@AcoyBk,2023-05-29 01:50:28+00:00,https://twitter.com/AcoyBk/status/1662999816836878336,"Pemjarahan
Penculikan
Sniper
Perkosaan massal etnis tertentu
Exodus besar besaran WNA WNI keluar wilayah nkri

Ujung ujungnya Pemilu ditunda?

Reformasi jilid2  !!",,,,1,1,,90,
14,GELORA NEWS,@geloraco,2023-05-29 15:51:48+00:00,https://twitter.com/geloraco/status/1663211547852947458,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,gelora.co,MK di Bawah Kendali Kekuatan Pendukung Pemilu Ditunda Jika Putuskan Pileg Tertutup,,4,6,23,864,
15,Jaya Sakti,@Nissakti,2023-05-29 13:42:55+00:00,https://twitter.com/Nissakti/status/1663179114688417793,"Bocor nih Bocor 

Pemilu Sistem Proporsional Tertutup & Penundaan Pilpres",,,,1,2,1,90,@republikaonline
16,Tek Wan Mahalini,@AnsoriA20877190,2023-05-29 12:44:48+00:00,https://twitter.com/AnsoriA20877190/status/1663164488064049154,"Rakyat bergerak memang itu yang diinginkan.
Supaya chaos, akhirnya pemilu ditunda.
Aparat represif pastinya
(Obroralan para ojol di warung kopi mba Giyem)",,,,1,1,3,142,@IMCMushroom
17,Nisma Malik Mokhtar,@nisma_mokhtar,2023-05-29 12:28:02+00:00,https://twitter.com/nisma_mokhtar/status/1663160265670815744,Yg diperlukan itu penjelasan ttg pengaruh apapun keputusan MK terhdp tahapan pelaksanaan pemilu. Krn yg dicurigai masyarakat kan adanya upaya penundaan pemilu lewat keputusan MK kelak.,,,,1,,1,6,@kandargalang
18,AcoyBK,@AcoyBk,2023-05-29 10:35:39+00:00,https://twitter.com/AcoyBk/status/1663131986335236096,"MK putuskan Pemilu kembali ke sistem proposal tertutup,  ujung""nya Pemilu ditunda & kepala daerah dipilih lewat keterwakilan

Presiden (kaka ipar)
MK (adik ipar)
KPU (ketua otak selangkangangan)
Menkopolhukam
Mendagri
Kapolri
Panglima

PDI-P Megawati
PBB - Yusril

Tanggung Jawab!",,,,1,,,93,
19,Godam,@Godam062,2023-05-29 10:33:25+00:00,https://twitter.com/Godam062/status/1663131424931852288,"Wah, kalau semua partai terlibat apa semuanya digrounded dan kena pinalti 1 periode atau malah dibubarkan dan PT jadi 0% atau pemilu ditunda 3-4 tahun ?",,,,1,,1,71,@_palungmariana
20,Historia.ID,@historia_id,2023-05-29 10:05:34+00:00,https://twitter.com/historia_id/status/1663124415759122432,"Setelah Pemilu pertama, Pemilu berikutnya ditunda-tunda. Alasannya keamanan, sengketa Irian Barat, dan takut PKI menang. Pemilu baru kembali diselenggarakan pada masa Orde Baru.",premium.historia.id,Motif di Balik Penundaan Pemilu,"Setelah Pemilu pertama, Pemilu berikutnya ditunda-tunda. Alasannya keamanan, sengketa Irian Barat, dan takut PKI menang. Pemilu baru kembali diselenggarakan pada masa Orde Baru.",1,11,33,"4,565",
21,Edi Keceput 2,@EdiKeceput2,2023-05-29 05:39:25+00:00,https://twitter.com/EdiKeceput2/status/1663057435534434304,"Jaile  lupa die, kemarin ada 'drama' yg diawali dg ""BIG DUSTA"", kemudian wacana penundaan pemilu, perpanjangan masa jabatan Presiden, Presiden 3 periode sampai gak malu3 ada wacana Presiden 2X bisa nyalon wapres.
Sampai sibuk ngumpulin kades, relawan, lupa ngurusin rakyat.",,,,1,,1,45,@SlametR06751672
22,Beritabaru.co,@Beritabaruco,2023-05-29 05:13:33+00:00,https://twitter.com/Beritabaruco/status/1663050927941783552,KY Akan Periksa Hakim PN Jakpus Terkait Putusan Penundaan Tahapan Pemilu 2024 #Hakim #MK #PenundaanPemilu #PNJakartaPusat  http://dlvr.it/SpnZdq,,,,1,,,17,
23,FARIZ BASTIAN ARDHANI,@ArdhaniFariz,2023-05-29 04:37:00+00:00,https://twitter.com/ArdhaniFariz/status/1663041726423134209,"Benar2 LUCU & KOPLAK
Sygku @ch_chotimah2
MK Mainnya Putuskan aja sperti RAJA
MK Putuskan Masa jabatan KPK
diperpanjang menjadi 5 th
Yg Lebih BRUNTAL lagi MK Bakal
Putuskan Sistem PEMILU menjadi
Proporsional TERTUTUP
Klo ini BENAR sangat BERBAHAYA
Ujung2 nya PEMILU DITUNDA sygku",,,,1,2,5,112,
24,BeritaSatu,@Beritasatu,2023-05-29 03:45:37+00:00,https://twitter.com/Beritasatu/status/1663028797799800835,"Putuskan Pemilu Ditunda, Ketua PN Jakpus dan Majelis Hakim Perkara Prima Dipanggil KY",beritasatu.com,"Putuskan Pemilu Ditunda, Ketua PN Jakpus dan Majelis Hakim Perkara Prima Dipanggil KY",KY memanggil Ketua PN Jakpus Liliek Prisbawono Adi dan majelis hakim yang menangani perkara gugatan perdata yang diajukan Partai Prima.,1,,1,621,
25,AcoyBK,@AcoyBk,2023-05-29 01:50:28+00:00,https://twitter.com/AcoyBk/status/1662999816836878336,"Pemjarahan
Penculikan
Sniper
Perkosaan massal etnis tertentu
Exodus besar besaran WNA WNI keluar wilayah nkri

Ujung ujungnya Pemilu ditunda?

Reformasi jilid2  !!",,,,1,1,,90,
26,Mansyur al-Jazuli,@mohmansyur_,2023-05-29 00:30:51+00:00,https://twitter.com/mohmansyur_/status/1662979784484487169,"Ada dua hal: pertama, kalau sistem pemilu diubah di tengah persiapan yg mepet, maka bisa menyebabkan pemilu ditunda. Kedua, kalau MK ubah sistem pemilu, maka mk tdk konsisten dg pernyataannya ttg ""open legal policy"" sebagaimana yg mk putuskan dalam aturan presidential treshold",,,,1,,,41,@JUN062022
27,AcoyBK,@AcoyBk,2023-05-28 18:10:35+00:00,https://twitter.com/AcoyBk/status/1662884085474394112,"Ujung ujung pemilu ditunda !!

Presiden
MK
KPU
Menkopolhukam
Mendagri
Kapolri Panglima

PDI-P Megawati
PBB - Yusril

Tanggung jawab !!

Reformasi jilid2 !!",,,,1,,,39,
28,Limi ruslai,@BangRus23,2023-05-28 17:16:45+00:00,https://twitter.com/BangRus23/status/1662870538119966721,"Kalau menurut saya ini bagian dari scenario perpanjangan masa jabatan. Ini bentuk pancingan kepada oposisi jika merasa pemilu tdk jurdil dan mintak dirombak semuanya,sementara waktu sudah mepet terpaksa pemilu ditunda. Dengan begitu diperpanjanglah masa jabatan presidennya",,,,3,2,12,"1,421",@renandabachtar
29,#mauApa,@HerminyudiP,2023-05-28 14:39:59+00:00,https://twitter.com/HerminyudiP/status/1662831085896736769,"kalau analisa bung @binbin_ft dengan kondisi (misal) terjadi penundaan pemilu 2024 kira2 langkah yang paling rasional seperti apa untuk menetapkan kepala pemerintahan biar ga terjadi kekosongan kepemimpin nasional dan legitimate,...",,,,1,,,53,@binbin_ft
30,Lambe Waras,@abu_waras,2023-05-28 14:08:14+00:00,https://twitter.com/abu_waras/status/1662823097752494081,"Upaya menuju ""Chaos"". memang seperti diciptakan sbg Skenario Kedua yang bertujuan agar Pemilu bisa ditunda, yg akhirnya Pemegang Kekuasaan Berikutnya diproses di MK, shg ujung2nya dia lagi dia lagi yg berkuasa sebagaimana memang yg didengungkan dari awal  yaitu 3 Periode.
IMHO",,,,4,38,77,"2,141",
31,Romitsu Top,@RomitsuT,2023-05-28 14:07:20+00:00,https://twitter.com/RomitsuT/status/1662822871515758593,"CHAOS dalam politik....tujuannya penundaan pemilu dengan demikian rezim tetap berkuasa sampai pemilu berhasil diadakan. 

Apakah rakyat dan partai partai yang tak sejalan dengan rezim akan diam ? 

Kita tunggu sinyal....",,,,3,8,20,474,
32,detikcom,@detikcom,2023-05-28 13:25:00+00:00,https://twitter.com/detikcom/status/1662812214762274816,Partai Prima menyerahkan sepenuhnya ke MA agar mendapatkan keadilan seutuhnya terkait sidang gugatan penundaan pemilu.,news.detik.com,Prima Harap MA Objektif Adili Gugatan Tunda Pemilu Lawan KPU,Partai Prima menyerahkan sepenuhnya ke MA agar mendapatkan keadilan seutuhnya terkait sidang gugatan penundaan pemilu.,2,9,19,10.7K,
33,Call me SK,@RadarKorupsi,2023-05-28 12:45:26+00:00,https://twitter.com/RadarKorupsi/status/1662802257396776962,BISA PICU CHAOS SOSIAL POLITIK. Pemilu ditunda karna dokumen pencoblosan (surat suara) harus dicetak ulang. Proses cetak ulang perlu waktu. Waktu itulah yang harus DIMAENKAN,,,,1,11,30,374,
34,LALU JANUARIANTO,@RrgDevino,2023-05-28 12:14:05+00:00,https://twitter.com/RrgDevino/status/1662794369576103938,semoga tidak terjadi penundaan pemilu,,,,1,,1,9,@RadarKorupsi
35,R10'@rosscal 14,@ryorossi4689,2023-05-28 11:03:55+00:00,https://twitter.com/ryorossi4689/status/1662776710855811074,Kondisi politik yg kondusif di buat terbakar dgn keputusan MA yg mengikuti argumen yusril IM kesungguhan membuat gaduh untuk tujuan penundaan pemilu menjadi agenda bersama para penjahat demokrasi,,,,2,6,29,"3,791",@SBYudhoyono
36,OposisiCerdas.com,@OposisiCerdas,2023-05-28 09:26:08+00:00,https://twitter.com/OposisiCerdas/status/1662752101972459521,"Ngaku Dapat Info soal Judicial Review Sistem Pemilu, Said Didu: Pemilu akan Ditunda?",oposisicerdas.com,"Ngaku Dapat Info soal Judicial Review Sistem Pemilu, Said Didu: Pemilu akan Ditunda?","Mantan Sekretaris Kementerian BUMN, Muhammad Said Didu mengaku mendapat informasi soal Judicial Review (JR) ke Mahkamah Konstitusi (MK) ihwa...",4,36,57,"1,253",
37,Narasi Newsroom,@NarasiNewsroom,2023-05-28 07:14:28+00:00,https://twitter.com/NarasiNewsroom/status/1662718967100891136,"Partai Prima resmi mengajukan gugatan penundaan Pemilu 2024 ke Mahkamah Agung. Langkah ini ditempuh setelah Pengadilan Tinggi DKI Jakarta membatalkan putusan Pengadilan Negeri Jakarta tentang penundaan Pemilu 2024.

| Narasi Daily",,,,8,30,41,13.7K,
38,AcoyBK,@AcoyBk,2023-05-28 18:10:35+00:00,https://twitter.com/AcoyBk/status/1662884085474394112,"Ujung ujung pemilu ditunda !!

Presiden
MK
KPU
Menkopolhukam
Mendagri
Kapolri Panglima

PDI-P Megawati
PBB - Yusril

Tanggung jawab !!

Reformasi jilid2 !!",,,,1,,,39,
39,Limi ruslai,@BangRus23,2023-05-28 17:16:45+00:00,https://twitter.com/BangRus23/status/1662870538119966721,"Kalau menurut saya ini bagian dari scenario perpanjangan masa jabatan. Ini bentuk pancingan kepada oposisi jika merasa pemilu tdk jurdil dan mintak dirombak semuanya,sementara waktu sudah mepet terpaksa pemilu ditunda. Dengan begitu diperpanjanglah masa jabatan presidennya",,,,3,2,12,"1,421",@renandabachtar
40,#mauApa,@HerminyudiP,2023-05-28 14:39:59+00:00,https://twitter.com/HerminyudiP/status/1662831085896736769,"kalau analisa bung @binbin_ft dengan kondisi (misal) terjadi penundaan pemilu 2024 kira2 langkah yang paling rasional seperti apa untuk menetapkan kepala pemerintahan biar ga terjadi kekosongan kepemimpin nasional dan legitimate,...",,,,1,,,53,@binbin_ft
41,Lambe Waras,@abu_waras,2023-05-28 14:08:14+00:00,https://twitter.com/abu_waras/status/1662823097752494081,"Upaya menuju ""Chaos"". memang seperti diciptakan sbg Skenario Kedua yang bertujuan agar Pemilu bisa ditunda, yg akhirnya Pemegang Kekuasaan Berikutnya diproses di MK, shg ujung2nya dia lagi dia lagi yg berkuasa sebagaimana memang yg didengungkan dari awal  yaitu 3 Periode.
IMHO",,,,4,38,77,"2,141",
42,Romitsu Top,@RomitsuT,2023-05-28 14:07:20+00:00,https://twitter.com/RomitsuT/status/1662822871515758593,"CHAOS dalam politik....tujuannya penundaan pemilu dengan demikian rezim tetap berkuasa sampai pemilu berhasil diadakan. 

Apakah rakyat dan partai partai yang tak sejalan dengan rezim akan diam ? 

Kita tunggu sinyal....",,,,3,8,20,474,
43,detikcom,@detikcom,2023-05-28 13:25:00+00:00,https://twitter.com/detikcom/status/1662812214762274816,Partai Prima menyerahkan sepenuhnya ke MA agar mendapatkan keadilan seutuhnya terkait sidang gugatan penundaan pemilu.,news.detik.com,Prima Harap MA Objektif Adili Gugatan Tunda Pemilu Lawan KPU,Partai Prima menyerahkan sepenuhnya ke MA agar mendapatkan keadilan seutuhnya terkait sidang gugatan penundaan pemilu.,2,9,19,10.7K,
44,Call me SK,@RadarKorupsi,2023-05-28 12:45:26+00:00,https://twitter.com/RadarKorupsi/status/1662802257396776962,BISA PICU CHAOS SOSIAL POLITIK. Pemilu ditunda karna dokumen pencoblosan (surat suara) harus dicetak ulang. Proses cetak ulang perlu waktu. Waktu itulah yang harus DIMAENKAN,,,,1,11,30,374,
45,LALU JANUARIANTO,@RrgDevino,2023-05-28 12:14:05+00:00,https://twitter.com/RrgDevino/status/1662794369576103938,semoga tidak terjadi penundaan pemilu,,,,1,,1,9,@RadarKorupsi
46,R10'@rosscal 14,@ryorossi4689,2023-05-28 11:03:55+00:00,https://twitter.com/ryorossi4689/status/1662776710855811074,Kondisi politik yg kondusif di buat terbakar dgn keputusan MA yg mengikuti argumen yusril IM kesungguhan membuat gaduh untuk tujuan penundaan pemilu menjadi agenda bersama para penjahat demokrasi,,,,2,6,29,"3,791",@SBYudhoyono
47,OposisiCerdas.com,@OposisiCerdas,2023-05-28 09:26:08+00:00,https://twitter.com/OposisiCerdas/status/1662752101972459521,"Ngaku Dapat Info soal Judicial Review Sistem Pemilu, Said Didu: Pemilu akan Ditunda?",oposisicerdas.com,"Ngaku Dapat Info soal Judicial Review Sistem Pemilu, Said Didu: Pemilu akan Ditunda?","Mantan Sekretaris Kementerian BUMN, Muhammad Said Didu mengaku mendapat informasi soal Judicial Review (JR) ke Mahkamah Konstitusi (MK) ihwa...",4,36,57,"1,253",
48,Narasi Newsroom,@NarasiNewsroom,2023-05-28 07:14:28+00:00,https://twitter.com/NarasiNewsroom/status/1662718967100891136,"Partai Prima resmi mengajukan gugatan penundaan Pemilu 2024 ke Mahkamah Agung. Langkah ini ditempuh setelah Pengadilan Tinggi DKI Jakarta membatalkan putusan Pengadilan Negeri Jakarta tentang penundaan Pemilu 2024.

| Narasi Daily",,,,8,30,41,13.7K,
49,͔,@hc_poirot,2023-05-28 06:54:40+00:00,https://twitter.com/hc_poirot/status/1662713984712314882,"""Pagi ini beredar isu yang menggemparkan, bahwa MK akan mengabulkan sistem proporsional tertutup, dengan perbandingan hakim 6:3, jadi 6 orang mengabulkan, 3 dissenting opinion. Dan konsekuensinya, ada alasan untuk melakukan penundaan Pemilu,"" kata Refly",politik.rmol.id,Refly Harun: Beredar Isu MK Akan Kabulkan Sistem Proporsional Tertutup,"Beredar kabar, Mahkamah Konstitusi (MK) bakal mengabulkan gugatan sistem proporsional tertutup, dengan mayoritas Hakim Konstitusi mengabulkan.Selentingan itu disampaikan Pakar Hukum",11,167,314,"5,793",
50,GELORA NEWS,@geloraco,2023-05-28 05:17:11+00:00,https://twitter.com/geloraco/status/1662689454505730050,"Ngaku Dapat Info soal Judicial Review Sistem Pemilu, Said Didu: Pemilu akan Ditunda?",gelora.co,"Ngaku Dapat Info soal Judicial Review Sistem Pemilu, Said Didu: Pemilu akan Ditunda?",,4,6,24,"1,420",
51,Muhammad Said Didu,@msaid_didu,2023-05-27 23:36:43+00:00,https://twitter.com/msaid_didu/status/1662603773251055617,"Saya dapat informasi bhw hakim MK @officialMKRI sdh memutuskan bhw sistem pileg akan dilaksanakan dg sistem tertutup dg perbandingan 6:3.  Pemilu akan ditunda ?
Apakah info yg saya dapat ini betul ?
Mhn perkenan cek kebenaran info tsb.",,,,439,793,"1,824",284.3K,
52,David Frans,@DavidFr86981125,2023-05-27 14:56:16+00:00,https://twitter.com/DavidFr86981125/status/1662472794037424129,"Genderang Perang Surya Paloh PDIP Plus JOKOWI sudah ditabuh. Perang tanding sudah diawali. Tetapi saya berharap NEGARA TIDAK BOLEH KEOS.  Disisi lain,               kudeta militer adalah keniscayaan, jika negara kheos. demi tolak perpu penundaan pemilu & selamatkan negara",,,,1,,,9,
53,EVERYTHING,@everything227,2023-05-27 09:13:14+00:00,https://twitter.com/everything227/status/1662386468202102785,"Kalau Pemilu Ditunda UU Juga Harus Ditunda 
#tidakadapenundaanpemilu, #WaspadaHoaksPemilu, #SukseskanPemilu2024.",,,,1,,,11,
54,AR,@aih_aria,2023-05-25 08:43:22+00:00,https://twitter.com/aih_aria/status/1661654175506391040,"2 tokoh ini inisiator penundaan pemilu,mereka orang2 yg tdk siap pemilu d selenggarakan..",,,,1,,,37,@IndraJPiliang
55,sitaayuptr,@ayusitaputr,2023-05-25 08:35:40+00:00,https://twitter.com/ayusitaputr/status/1661652237918306308,"Sukseskan Pemilu 2024, Tak ada Penundaan masa pemillu tetap pada tahun 2024 #tidakadapenundaanpemilu, #TolakGolput, #GunakanHakPilihmu",,,,2,,1,17,
56,dhemit_is_back,@dhemit_is_back,2023-05-25 06:11:15+00:00,https://twitter.com/dhemit_is_back/status/1661615897155620866,Bentar lagi Sistem Pemilu Tertutup juga indikasi di sah kan dan otomatis pemilu akan ditunda,,,,1,,1,72,@AlnilamOmar
57,Merdeka kok pake Masker,@akundihackmulu,2023-05-24 13:42:56+00:00,https://twitter.com/akundihackmulu/status/1661367179487461379,"Ndan, pesan bang @jansen_jsp , jangan pilih orang yg kemarin dukung perpanjangan jabatan presiden. Sudah pasti itu orang ga beres.

Klo pak zul dukung 3 periode atau penundaan pemilu ya ndan?",youtube.com,"DISINDIR ANIES LEWAT BUKU, JANGAN PILIH POLITISI INI DI 2024! JANSEN:...","DAPATKAN SECARA XKLUSIF MARCHANDISE DAN PRODUK KEREN CADAS!(JAKET, KAOS, POLO, KOPI, MADU, GULA AREN, DAN LAINNYA)SILAKAN ISI FORMULIR INI:https://forms.gle/...",1,,,25,@Partono_ADjem
58,Penggugat Ijazah,@P3n99u94t,2023-05-24 05:02:55+00:00,https://twitter.com/P3n99u94t/status/1661236311574081538,"3 PERIODE... GAGAL
PERPANJANG JABATAN... GAGAL
PENUNDAAN PEMILU... GAGAL
AKHIRNYA YA... CAWE CAWE

#RakyatInginPercepatPemilu
#RakyatInginPercepatPemilu
",,,,3,83,124,"1,796",
59,Deng Ramang,@BosRamang,2023-05-24 00:40:52+00:00,https://twitter.com/BosRamang/status/1661170363571531779,"Akal bulus untuk chaos pemilu, agar ditunda…",,,,4,,,"2,248",@tvOneNews
60,Penggugat Ijazah,@P3n99u94t,2023-05-23 04:18:37+00:00,https://twitter.com/P3n99u94t/status/1660862772815572993,"BOIKOT PARTAI PESERTA PEMILU YANG MEWACANAKAN PENUNDAAN PEMILU 2024...

#KPUCurangNKRIMusnah
#KPUCurangNKRIMusnah
",,,,17,237,461,"5,263",
61,VivaCoid,@VIVAcoid,2023-05-23 03:30:37+00:00,https://twitter.com/VIVAcoid/status/1660850694310748160,Mahfud MD Pastikan Pemilu Tak Bakal Ditunda: Anggarannya Sudah Disiapkan,viva.co.id,Mahfud MD Pastikan Pemilu Tak Bakal Ditunda: Anggarannya Sudah Disiapkan,Menteri Koordinator Bidang Politik Hukum dan Keamanan (Menkopolhukam) Mahfud MD menegaskan bahwa ajang kontestasi Pemilihan Umum (Pemilu) 2024 mendatang tak akan ditunda.,2,3,1,866,
62,GELORA NEWS,@geloraco,2023-05-28 05:17:11+00:00,https://twitter.com/geloraco/status/1662689454505730050,"Ngaku Dapat Info soal Judicial Review Sistem Pemilu, Said Didu: Pemilu akan Ditunda?",gelora.co,"Ngaku Dapat Info soal Judicial Review Sistem Pemilu, Said Didu: Pemilu akan Ditunda?",,4,6,24,"1,420",
63,Muhammad Said Didu,@msaid_didu,2023-05-27 23:36:43+00:00,https://twitter.com/msaid_didu/status/1662603773251055617,"Saya dapat informasi bhw hakim MK @officialMKRI sdh memutuskan bhw sistem pileg akan dilaksanakan dg sistem tertutup dg perbandingan 6:3.  Pemilu akan ditunda ?
Apakah info yg saya dapat ini betul ?
Mhn perkenan cek kebenaran info tsb.",,,,439,793,"1,824",284.3K,
64,David Frans,@DavidFr86981125,2023-05-27 14:56:16+00:00,https://twitter.com/DavidFr86981125/status/1662472794037424129,"Genderang Perang Surya Paloh PDIP Plus JOKOWI sudah ditabuh. Perang tanding sudah diawali. Tetapi saya berharap NEGARA TIDAK BOLEH KEOS.  Disisi lain,               kudeta militer adalah keniscayaan, jika negara kheos. demi tolak perpu penundaan pemilu & selamatkan negara",,,,1,,,9,
65,EVERYTHING,@everything227,2023-05-27 09:13:14+00:00,https://twitter.com/everything227/status/1662386468202102785,"Kalau Pemilu Ditunda UU Juga Harus Ditunda 
#tidakadapenundaanpemilu, #WaspadaHoaksPemilu, #SukseskanPemilu2024.",,,,1,,,11,
66,AR,@aih_aria,2023-05-25 08:43:22+00:00,https://twitter.com/aih_aria/status/1661654175506391040,"2 tokoh ini inisiator penundaan pemilu,mereka orang2 yg tdk siap pemilu d selenggarakan..",,,,1,,,37,@IndraJPiliang
67,sitaayuptr,@ayusitaputr,2023-05-25 08:35:40+00:00,https://twitter.com/ayusitaputr/status/1661652237918306308,"Sukseskan Pemilu 2024, Tak ada Penundaan masa pemillu tetap pada tahun 2024 #tidakadapenundaanpemilu, #TolakGolput, #GunakanHakPilihmu",,,,2,,1,17,
68,dhemit_is_back,@dhemit_is_back,2023-05-25 06:11:15+00:00,https://twitter.com/dhemit_is_back/status/1661615897155620866,Bentar lagi Sistem Pemilu Tertutup juga indikasi di sah kan dan otomatis pemilu akan ditunda,,,,1,,1,72,@AlnilamOmar
69,Merdeka kok pake Masker,@akundihackmulu,2023-05-24 13:42:56+00:00,https://twitter.com/akundihackmulu/status/1661367179487461379,"Ndan, pesan bang @jansen_jsp , jangan pilih orang yg kemarin dukung perpanjangan jabatan presiden. Sudah pasti itu orang ga beres.

Klo pak zul dukung 3 periode atau penundaan pemilu ya ndan?",youtube.com,"DISINDIR ANIES LEWAT BUKU, JANGAN PILIH POLITISI INI DI 2024! JANSEN:...","DAPATKAN SECARA XKLUSIF MARCHANDISE DAN PRODUK KEREN CADAS!(JAKET, KAOS, POLO, KOPI, MADU, GULA AREN, DAN LAINNYA)SILAKAN ISI FORMULIR INI:https://forms.gle/...",1,,,25,@Partono_ADjem
